Latitude,Longitude
29.7833456774635,-82.1041996804141
29.7780815892973,-82.1053915879145
29.7762287654871,-82.1042533595163
29.7763031037456,-82.100990798129
29.7755319810474,-82.0995479236643
29.7730125211057,-82.1011773505082
29.7733526454398,-82.1028321230152
29.7717880594477,-82.1048992691886
29.7709521591675,-82.104425191933
29.7689259608971,-82.1062047904955
29.768721147567,-82.1072746715519
29.7664054980987,-82.1063243086419
29.7662845466861,-82.1046226784685
29.7620466151297,-82.0949486325583
29.761341266041,-82.0913401241587
29.7592276418153,-82.0893934330155
29.7559940698968,-82.094720605466
29.7495214074389,-82.0977370692454
29.7423898541895,-82.0981200554656
29.7372476874102,-82.0949878201288
29.7356960531846,-82.0957337783831
29.7322836869652,-82.0942222005858
29.731646019358,-82.0919882191581
29.7286509703285,-82.0881317562504
29.7255602289869,-82.0860339370396
29.7200879067598,-82.0857609474661
29.7190437102702,-82.0836184341645
29.7204501296483,-82.0806805613074
29.7190408140192,-82.0678544643537
29.7172299638408,-82.0653073137282
29.7174219816697,-82.0636660255451
29.7162799241546,-82.0596316907255
29.7146074519047,-82.0601763232501
29.7138966750076,-82.0591018719184
29.7155664510194,-82.0580046293819
29.7160635876182,-82.0555945267247
29.7157548378884,-82.0549075603606
29.7138186857897,-82.0546260691254
29.7128837806105,-82.0522731124142
29.7132808136767,-82.0518708693455
29.7137461873734,-82.0502930938052
29.7150528543833,-82.050218846583
29.716591022943,-82.0517379911118
29.7169349266085,-82.0534444993175
29.7167479890753,-82.0545282465712
29.7172186173301,-82.0556408279598
29.7232969312921,-82.0557808339114
29.7255229142366,-82.0543177651734
29.7330649154502,-82.0555381418525
29.7360341332818,-82.0548284981973
29.7421372374922,-82.0572877893271
29.7489988995166,-82.0594168154399
29.7555352763525,-82.0661351895601
29.7591813605743,-82.0710065054123
29.7605591954406,-82.0746221493867
29.7610913533281,-82.0824991178362
29.7600388774488,-82.0863683761994
29.7608080130935,-82.0885438001021
29.7619623344695,-82.0882107569534
29.7640564243267,-82.0831782673171
29.7641278727316,-82.0819682660906
29.7675895294142,-82.0804430884006
29.7753428956843,-82.0795185636435
29.7775652569742,-82.0819144379865
29.7787285931928,-82.0869285021264
29.7788169575372,-82.0934796486798
29.7803833033116,-82.0945052544907
29.780938620418,-82.0981901815436
29.782103509862,-82.1001115224481
29.7836566941229,-82.101836294032
29.7833456774635,-82.1041996804141
