Latitude,Longitude
-82.1703528046634,29.4084550230315
-82.1703435416198,29.4084190530328
-82.170280892943,29.4083621001058
-82.1702446368118,29.4081319849805
-82.1702807409325,29.4073878080867
-82.1702462920028,29.4073244844631
-82.170254062289,29.4072613813436
-82.1702062580586,29.4072324150095
-82.1701383996517,29.4072746699716
-82.1689978916754,29.4073258790502
-82.168896000739,29.4073857495537
-82.1688518481994,29.4074735339317
-82.1688606060143,29.4077549113638
-82.1689049598909,29.4081797970536
-82.1690320155991,29.4081930043548
-82.1691316982545,29.4082532837741
-82.1692272051937,29.408201138391
-82.1692447985941,29.4082267690351
-82.1691545843838,29.4082743204975
-82.169221548666,29.4084140177824
-82.1693185332952,29.4084445909581
-82.1694958136586,29.408429093236
-82.1696383863592,29.4084498218025
-82.1698974245752,29.4084362068734
-82.1702062234676,29.4084199027985
-82.1702942638075,29.4084457637148
-82.1703528046634,29.4084550230315
